2013-01-01	6311
2013-01-02	6663
2013-01-03	6668
2013-01-04	i246
2013-01-05	i442
2013-01-06	i460
2013-01-07	i588
2013-01-08	7278
2013-01-09	7100
2013-01-10	7132
2013-01-11	7155
2013-01-12	i363
2013-01-13	6766
2013-01-14	i087
2013-01-15	6646
2013-01-16	6745
2013-01-17	6453
2013-01-18	6978
2013-01-19	6812
2013-01-20	6766
2013-01-21	i369
2013-01-22	6908
2013-01-23	6644
2013-01-24	6364
2013-01-25	6211
2013-01-26	5701
2013-01-27	5639
2013-01-28	6200
2013-01-29	6080
2013-01-30	6155
2013-01-31	6263
2013-02-01	se74
2013-02-02	5610
2013-02-03	5516
2013-02-04	6051
2013-02-05	5623
2013-02-06	5295
2013-02-07	5082
2013-02-08	4471
2013-02-09	3432
2013-02-10	4366
2013-02-11	4852
2013-02-12	5183
2013-02-13	5314
2013-02-14	5558
2013-02-15	error
2013-02-16	6655
2013-02-17	6798
2013-02-18	6958
2013-02-19	7103
2013-02-20	i250
2013-02-21	7673
2013-02-22	8010
2013-02-23	8053
2013-02-24	i439
2013-02-25	10481
2013-02-26	10219
2013-02-27	9e}79
2013-02-28	9572
2013-03-01	9350
2013-03-02	8127
2013-03-03	8109
2013-03-04	8651
2013-03-05	9385
2013-03-06	9684
2013-03-07	9085
2013-03-08	8647
2013-03-09	8624
2013-03-10	8185
2013-03-11	8684
2013-03-12	8581
2013-03-13	8486
2013-03-14	8680
2013-03-15	9479
2013-03-16	9048
2013-03-17	9086
2013-03-18	9144
2013-03-19	9043
2013-03-20	9371
2013-03-21	9033
2013-03-22	12823
2013-03-23	10839
2013-03-24	9682
2013-03-25	10623
2013-03-26	9481
2013-03-27	8889
2013-03-28	9289
2013-03-29	9031
2013-03-30	8329
2013-03-31	8402
2013-04-01	10363
2013-04-02	10212
2013-04-03	error
2013-04-04	9232
2013-04-05	se35
2013-04-06	i516
2013-04-07	8422
2013-04-08	8585
2013-04-09	8990
2013-04-10	8921
2013-04-11	9107
2013-04-12	9255
2013-04-13	8168
2013-04-14	8297
2013-04-15	8996
2013-04-16	9137
2013-04-17	9013
2013-04-18	8883
2013-04-19	eleh2
2013-04-20	e}170
2013-04-21	e}149
2013-04-22	9235
2013-04-23	se82
2013-04-24	8697
2013-04-25	8255
2013-04-26	e}077
2013-04-27	i695
2013-04-28	i838
2013-04-29	i645
2013-04-30	i395
2013-05-01	7671
2013-05-02	8362
2013-05-03	8313
2013-05-04	8665
2013-05-05	9628
2013-05-06	9329
2013-05-07	e978
2013-05-08	9149
2013-05-09	error
2013-05-10	i997
2013-05-11	i327
2013-05-12	i906
2013-05-13	e}911
2013-05-14	9457
2013-05-15	9116
2013-05-16	9165
2013-05-17	9123
2013-05-18	9198
2013-05-19	ele110
2013-05-20	9301
2013-05-21	9021
2013-05-22	8873
2013-05-23	9054
2013-05-24	8939
2013-05-25	se08
2013-05-26	8992
2013-05-27	9097
2013-05-28	9798
2013-05-29	9389
2013-05-30	9611
2013-05-31	9310
2013-06-01	8851
2013-06-02	8945
2013-06-03	error
2013-06-04	10113
2013-06-05	11059
2013-06-06	11556
2013-06-07	12052
2013-06-08	12025
2013-06-09	14257
2013-06-10	16743
2013-06-11	17899
2013-06-12	15394
2013-06-13	15387
2013-06-14	18896
2013-06-15	19743
2013-06-16	18810
2013-06-17	17440
2013-06-18	14716
2013-06-19	14836
2013-06-20	14740
2013-06-21	13198
2013-06-22	13544
2013-06-23	16622
2013-06-24	18853
2013-06-25	23796
2013-06-26	25401
2013-06-27	22307
2013-06-28	18375
2013-06-29	16373
2013-06-30	14809
2013-07-01	15134
2013-07-02	14251
2013-07-03	15132
2013-07-04	14054
2013-07-05	13534
2013-07-06	12481
2013-07-07	12807
2013-07-08	13995
2013-07-09	14456
2013-07-10	15229
2013-07-11	14381
2013-07-12	13225
2013-07-13	11264
2013-07-14	11432
2013-07-15	13196
2013-07-16	13018
2013-07-17	13086
2013-07-18	13433
2013-07-19	12618
2013-07-20	11773
2013-07-21	11829
2013-07-22	12807
2013-07-23	12516
2013-07-24	11918
2013-07-25	12039
2013-07-26	12650
2013-07-27	11630
2013-07-28	10947
2013-07-29	11663
2013-07-30	11166
2013-07-31	10682
2013-08-01	11363
2013-08-02	11555
2013-08-03	10247
2013-08-04	10528
2013-08-05	10364
2013-08-06	9916
2013-08-07	10947
2013-08-08	10619
2013-08-09	10302
2013-08-10	9694
2013-08-11	9695
2013-08-12	10236
2013-08-13	9778
2013-08-14	10395
2013-08-15	10480
2013-08-16	10594
2013-08-17	10037
2013-08-18	10045
2013-08-19	10853
2013-08-20	10669
2013-08-21	10903
2013-08-22	11031
2013-08-23	10812
2013-08-24	10050
2013-08-25	10240
2013-08-26	11145
2013-08-27	11481
2013-08-28	11521
2013-08-29	11223
2013-08-30	11117
2013-08-31	10677
2013-09-01	1117s
2013-09-02	11982
2013-09-03	12380
2013-09-04	12063
2013-09-05	12197
2013-09-06	11944
2013-09-07	12303
2013-09-08	11659
2013-09-09	12¡®w5
2013-09-10	11997
2013-09-11	11706
2013-09-12	10864
2013-09-13	11340
2013-09-14	10632
2013-09-15	11002
2013-09-16	11262
2013-09-17	11109
2013-09-18	11184
2013-09-19	10070
2013-09-20	10387
2013-09-21	10157
2013-09-22	10949
2013-09-23	11182
2013-09-24	10626
2013-09-25	11171
2013-09-26	10497
2013-09-27	10344
2013-09-28	9440
2013-09-29	9730
2013-09-30	10127
2013-10-01	9574
2013-10-02	9330
2013-10-03	9176
2013-10-04	9583
2013-10-05	9319
2013-10-06	9285
2013-10-07	9579
2013-10-08	10198
2013-10-09	10419
2013-10-10	10969
2013-10-11	11609
2013-10-12	11296
2013-10-13	10293
2013-10-14	10622
2013-10-15	10232
2013-10-16	10058
2013-10-17	9745
2013-10-18	9934
2013-10-19	9644
2013-10-20	9936
2013-10-21	10219
2013-10-22	10036
2013-10-23	10492
2013-10-24	9e71
2013-10-25	10145
2013-10-26	9251
2013-10-27	9024
2013-10-28	9572
2013-10-29	9716
2013-10-30	9846
2013-10-31	9863
2013-11-01	9800
2013-11-02	9701
2013-11-03	8890
2013-11-04	9450
2013-11-05	9466
2013-11-06	9491
2013-11-07	9573
2013-11-08	9321
2013-11-09	9079
2013-11-10	8683
2013-11-11	e}701
2013-11-12	9401
2013-11-13	8930
2013-11-14	8863
2013-11-15	8s11
2013-11-16	8568
2013-11-17	e675
2013-11-18	8960
2013-11-19	9010
2013-11-20	9012
2013-11-21	9215
2013-11-22	9350
2013-11-23	8900
2013-11-24	9343
2013-11-25	9438
2013-11-26	10401
2013-11-27	9256
2013-11-28	8944
2013-11-29	9320
2013-11-30	sr37
2013-12-01	9056
2013-12-02	9316
2013-12-03	9181
2013-12-04	9171
2013-12-05	9513
2013-12-06	9347
2013-12-07	9232
2013-12-08	e973
2013-12-09	9246
2013-12-10	9131
2013-12-11	8852
2013-12-12	8813
2013-12-13	8884
2013-12-14	8606
2013-12-15	8848
2013-12-16	9235
2013-12-17	9242
2013-12-18	8596
2013-12-19	8648
2013-12-20	8657
2013-12-21	i185
2013-12-22	8386
2013-12-23	se68
2013-12-24	i946
2013-12-25	9268
2013-12-26	12632
2013-12-27	10529
2013-12-28	8116
2013-12-29	i836
2013-12-30	8689
2013-12-31	9653
