2017-01-01	4725
2017-01-02	4552
2017-01-03	5043
2017-01-04	5645
2017-01-05	5473
2017-01-06	5686
2017-01-07	5049
2017-01-08	5261
2017-01-09	5463
2017-01-10	5601
2017-01-11	5523
2017-01-12	5509
2017-01-13	5359
2017-01-14	5004
2017-01-15	4561
2017-01-16	5226
2017-01-17	5131
2017-01-18	s178
2017-01-19	5020
2017-01-20	4737
2017-01-21	4514
2017-01-22	4466
2017-01-23	4235
2017-01-24	4097
2017-01-25	3953
2017-01-26	3617
2017-01-27	2489
2017-01-28	3340
2017-01-29	3966
2017-01-30	4274
2017-01-31	4836
2017-02-01	4897
2017-02-02	5123
2017-02-03	5431
2017-02-04	5455
2017-02-05	5048
2017-02-06	6007
2017-02-07	6092
2017-02-08	5898
2017-02-09	5623
2017-02-10	5504
2017-02-11	5026
2017-02-12	5159
2017-02-13	5801
2017-02-14	5645
2017-02-15	e}165
2017-02-16	se04
2017-02-17	9745
2017-02-18	8387
2017-02-19	6718
2017-02-20	i258
2017-02-21	i501
2017-02-22	i840
2017-02-23	6969
2017-02-24	6603
2017-02-25	6397
2017-02-26	6816
2017-02-27	i666
2017-02-28	i323
2017-03-01	7411
2017-03-02	7741
2017-03-03	e}911
2017-03-04	i083
2017-03-05	6733
2017-03-06	i626
2017-03-07	i332
2017-03-08	6699
2017-03-09	i437
2017-03-10	i454
2017-03-11	i245
2017-03-12	6894
2017-03-13	737e
2017-03-14	i347
2017-03-15	e}078
2017-03-16	8286
2017-03-17	8109
2017-03-18	i645
2017-03-19	i582
2017-03-20	8542
2017-03-21	8288
2017-03-22	8856
2017-03-23	7670
2017-03-24	i101
2017-03-25	6480
2017-03-26	6250
2017-03-27	6538
2017-03-28	6287
2017-03-29	6410
2017-03-30	6162
2017-03-31	5842
2017-04-01	5383
2017-04-02	4760
2017-04-03	s177
2017-04-04	5475
2017-04-05	6174
2017-04-06	5911
2017-04-07	se58
2017-04-08	5368
2017-04-09	5363
2017-04-10	67e5
2017-04-11	6602
2017-04-12	6138
2017-04-13	6002
2017-04-14	5907
2017-04-15	5270
2017-04-16	5301
2017-04-17	6102
2017-04-18	5838
2017-04-19	5842
2017-04-20	5815
2017-04-21	se52
2017-04-22	s171
2017-04-23	s177
2017-04-24	5837
2017-04-25	s87e
2017-04-26	se18
2017-04-27	5564
2017-04-28	error
2017-04-29	s133
2017-04-30	5148
2017-05-01	4939
2017-05-02	5851
2017-05-03	6258
2017-05-04	error
2017-05-05	se05
2017-05-06	5086
2017-05-07	5279
2017-05-08	6205
2017-05-09	6173
2017-05-10	6258
2017-05-11	6364
2017-05-12	6025
2017-05-13	5635
2017-05-14	5495
2017-05-15	6344
2017-05-16	6127
2017-05-17	6432
2017-05-18	6202
2017-05-19	5987
2017-05-20	5606
2017-05-21	6112
2017-05-22	6666
2017-05-23	6337
2017-05-24	6471
2017-05-25	6519
2017-05-26	6366
2017-05-27	5980
2017-05-28	5126
2017-05-29	5422
2017-05-30	5361
2017-05-31	6439
2017-06-01	6231
2017-06-02	error
2017-06-03	5558
2017-06-04	6034
2017-06-05	i529
2017-06-06	i692
2017-06-07	e}163
2017-06-08	8515
2017-06-09	8897
2017-06-10	i991
2017-06-11	8297
2017-06-12	9107
2017-06-13	8394
2017-06-14	8515
2017-06-15	8883
2017-06-16	8487
2017-06-17	7767
2017-06-18	i637
2017-06-19	8959
2017-06-20	9322
2017-06-21	9699
2017-06-22	14698
2017-06-23	30339
2017-06-24	32709
2017-06-25	34210
2017-06-26	29364
2017-06-27	26281
2017-06-28	21639
2017-06-29	14360
2017-06-30	12502
2017-07-01	10595
2017-07-02	10003
2017-07-03	9709
2017-07-04	9276
2017-07-05	9278
2017-07-06	sr67
2017-07-07	8906
2017-07-08	9201
2017-07-09	9943
2017-07-10	12851
2017-07-11	11714
2017-07-12	97e5
2017-07-13	8963
2017-07-14	9142
2017-07-15	e}276
2017-07-16	8606
2017-07-17	9166
2017-07-18	9536
2017-07-19	10277
2017-07-20	9211
2017-07-21	se64
2017-07-22	i990
2017-07-23	e}156
2017-07-24	e}166
2017-07-25	i905
2017-07-26	i449
2017-07-27	7150
2017-07-28	7078
2017-07-29	6457
2017-07-30	6442
2017-07-31	6642
2017-08-01	6566
2017-08-02	6509
2017-08-03	6497
2017-08-04	6567
2017-08-05	6129
2017-08-06	6089
2017-08-07	6132
2017-08-08	6245
2017-08-09	6217
2017-08-10	6363
2017-08-11	5980
2017-08-12	5631
2017-08-13	5848
2017-08-14	6092
2017-08-15	6174
2017-08-16	6507
2017-08-17	error
2017-08-18	6664
2017-08-19	6481
2017-08-20	6804
2017-08-21	7278
2017-08-22	i294
2017-08-23	i108
2017-08-24	7195
2017-08-25	7190
2017-08-26	6943
2017-08-27	1127s
2017-08-28	se46
2017-08-29	se29
2017-08-30	bmw7
2017-08-31	8230
2017-09-01	e}272
2017-09-02	8412
2017-09-03	8954
2017-09-04	9832
2017-09-05	9177
2017-09-06	8547
2017-09-07	8342
2017-09-08	8301
2017-09-09	se08
2017-09-10	8939
2017-09-11	8512
2017-09-12	8082
2017-09-13	8032
2017-09-14	7979
2017-09-15	i630
2017-09-16	i107
2017-09-17	6714
2017-09-18	i415
2017-09-19	6981
2017-09-20	6638
2017-09-21	i561
2017-09-22	6741
2017-09-23	6373
2017-09-24	6739
2017-09-25	6839
2017-09-26	6693
2017-09-27	6415
2017-09-28	6310
2017-09-29	5468
2017-09-30	5520
2017-10-01	5350
2017-10-02	5196
2017-10-03	4951
2017-10-04	4498
2017-10-05	47e}4
2017-10-06	4650
2017-10-07	4980
2017-10-08	5421
2017-10-09	6193
2017-10-10	6272
2017-10-11	6690
2017-10-12	6255
2017-10-13	6027
2017-10-14	5449
2017-10-15	se53
2017-10-16	6064
2017-10-17	6179
2017-10-18	5584
2017-10-19	5601
2017-10-20	5362
2017-10-21	5213
2017-10-22	5264
2017-10-23	5777)
2017-10-24	se25
2017-10-25	sr67
2017-10-26	se69
2017-10-27	5410
2017-10-28	4880
2017-10-29	4902
2017-10-30	se73
2017-10-31	5777)
2017-11-01	5102
2017-11-02	5139
