2011-01-01	6733
2011-01-02	6422
2011-01-03	6124
2011-01-04	7133
2011-01-05	6989
2011-01-06	i291
2011-01-07	i364
2011-01-08	6e77
2011-01-09	6634
2011-01-10	6e78
2011-01-11	6820
2011-01-12	6710
2011-01-13	6605
2011-01-14	6966
2011-01-15	6371
2011-01-16	5997
2011-01-17	6856
2011-01-18	6662
2011-01-19	6321
2011-01-20	6248
2011-01-21	6076
2011-01-22	5282
2011-01-23	5260
2011-01-24	6020
2011-01-25	6091
2011-01-26	se83
2011-01-27	5801
2011-01-28	se38
2011-01-29	4744
2011-01-30	4764
2011-01-31	4478
2011-02-01	4256
2011-02-02	3002
2011-02-03	3833
2011-02-04	4244
2011-02-05	4778
2011-02-06	5034
2011-02-07	5490
2011-02-08	5539
2011-02-09	6478
2011-02-10	6665
2011-02-11	6708
2011-02-12	6462
2011-02-13	5999
2011-02-14	6414
2011-02-15	6978
2011-02-16	i027
2011-02-17	6515
2011-02-18	i026
2011-02-19	6619
2011-02-20	6917
2011-02-21	e}071
2011-02-22	e375
2011-02-23	8247
2011-02-24	e175
2011-02-25	8285
2011-02-26	i898
2011-02-27	i847
2011-02-28	se56
2011-03-01	9000
2011-03-02	9325
2011-03-03	9595
2011-03-04	12012
2011-03-05	15193
2011-03-06	10580
2011-03-07	11347
2011-03-08	10770
2011-03-09	10282
2011-03-10	10880
2011-03-11	10551
2011-03-12	se69
2011-03-13	8510
2011-03-14	9066
2011-03-15	8955
2011-03-16	9009
2011-03-17	8909
2011-03-18	9313
2011-03-19	8518
2011-03-20	8119
2011-03-21	8682
2011-03-22	e}572
2011-03-23	8657
2011-03-24	9509
2011-03-25	9996
2011-03-26	9362
2011-03-27	e774
2011-03-28	9489
2011-03-29	9773
2011-03-30	10700
2011-03-31	10859
2011-04-01	9224
2011-04-02	9399
2011-04-03	8522
2011-04-04	8457
2011-04-05	8051
2011-04-06	9041
2011-04-07	9039
2011-04-08	9057
2011-04-09	8806
2011-04-10	8822
2011-04-11	9302
2011-04-12	9502
2011-04-13	9955
2011-04-14	9456
2011-04-15	10248
2011-04-16	9694
2011-04-17	9378
2011-04-18	10369
2011-04-19	10454
2011-04-20	17s53
2011-04-21	2177e}
2011-04-22	17903
2011-04-23	26884
2011-04-24	64965
2011-04-25	39854
2011-04-26	19591
2011-04-27	15277
2011-04-28	12946
2011-04-29	12558
2011-04-30	12730
2011-05-01	10708
2011-05-02	9719
2011-05-03	10209
2011-05-04	10266
2011-05-05	10036
2011-05-06	10069
2011-05-07	9508
2011-05-08	9602
2011-05-09	10602
2011-05-10	9764
2011-05-11	9430
